h_values,a_values,c_values,th_values,ta_values,avg_weight,std_of_avg_comm_state,range_of_comm_state,number_of_comm,modularity
0.01,0.01,0.01,0.01,0.01,0.2736598666718003,1.7532134757256057,4.0665184894979785,3,0.20917106215844208
0.01,0.01,0.01,0.01,0.03,0.2654810572552074,1.6401300509428338,4.005482980233671,3,0.19371909447442553
0.01,0.01,0.01,0.01,0.1,0.2279444190406451,1.7543762749378702,4.182723496740847,3,0.20470227134219637
0.01,0.01,0.01,0.01,0.3,0.13446919080238237,1.8551980537276034,4.310696646146905,3,0.22967280730966086
0.01,0.01,0.01,0.03,0.01,0.28353339524170457,1.7225853048910664,4.042557770443758,3,0.20193424397469728
0.01,0.01,0.01,0.03,0.03,0.2734441469787736,1.9052867871598347,3.8105735743196694,2,0.2028208276173474
0.01,0.01,0.01,0.03,0.1,0.2362960174687369,1.8084747974687736,3.616949594937547,2,0.20344877463589298
0.01,0.01,0.01,0.03,0.3,0.14300287725737257,1.6032656340444362,3.8652992625683615,3,0.22082859425574614
0.01,0.01,0.01,0.1,0.01,0.32728413695069425,1.5586129864766824,3.798690874775847,3,0.19029271927498917
0.01,0.01,0.01,0.1,0.03,0.3147387138674016,1.7350319414771478,4.179610090664379,3,0.18734719927103413
0.01,0.01,0.01,0.1,0.1,0.27502256087027216,1.6112514320193554,3.7910951380642564,3,0.198371541847849
0.01,0.01,0.01,0.1,0.3,0.1719331377909273,1.6682700173131106,3.916314280260476,3,0.21665304483762937
0.01,0.01,0.01,0.3,0.01,0.45429073470041903,1.878692717758553,3.757385435517106,2,0.18841060373145635
0.01,0.01,0.01,0.3,0.03,0.4424275587841532,1.611075782723544,3.834320252017774,3,0.1807459861675412
0.01,0.01,0.01,0.3,0.1,0.392854621507289,1.8518428196470216,3.703685639294043,2,0.19448940109881604
0.01,0.01,0.01,0.3,0.3,0.2721475652194644,1.5380990555903145,3.7204777824647994,3,0.19528651347548726
0.01,0.03,0.01,0.01,0.01,2.8393387063327986,1.3906234121264451,2.7812468242528903,2,0.042803715222961974
0.01,0.03,0.01,0.01,0.03,2.765321064560259,1.3834946565847734,2.766989313169547,2,0.04305681991418442
0.01,0.03,0.01,0.01,0.1,2.5956184566351763,1.4682932295553184,2.9365864591106368,2,0.04410238248057119
0.01,0.03,0.01,0.01,0.3,2.0267693973487653,1.4709710772507585,2.941942154501517,2,0.048725384958111684
0.01,0.03,0.01,0.03,0.01,2.9311243155584243,1.4856886758620407,2.9713773517240814,2,0.04329497981564545
0.01,0.03,0.01,0.03,0.03,2.80128413905519,1.3247718144044294,2.6495436288088587,2,0.04299399947799748
0.01,0.03,0.01,0.03,0.1,2.594531900068665,1.4085269431048308,2.8170538862096617,2,0.04470808739041521
0.01,0.03,0.01,0.03,0.3,2.092826887964948,1.3221117900444204,2.9405110089716358,3,0.048555880452181385
0.01,0.03,0.01,0.1,0.01,2.915096570792708,1.3296204105885305,2.659240821177061,2,0.04266665130140379
0.01,0.03,0.01,0.1,0.03,2.946141543328718,1.4919344248181676,2.9838688496363353,2,0.04464102235088632
0.01,0.03,0.01,0.1,0.1,2.653731645359785,1.3279421158019051,2.6558842316038103,2,0.043423639843423956
0.01,0.03,0.01,0.1,0.3,2.1185294601888818,1.4365039669968445,2.873007933993689,2,0.04720511371858224
0.01,0.03,0.01,0.3,0.01,3.086437193984569,1.375364351849568,2.750728703699136,2,0.043372488706581114
0.01,0.03,0.01,0.3,0.03,3.034760928392876,1.3351868113466914,2.6703736226933827,2,0.04178995052942089
0.01,0.03,0.01,0.3,0.1,2.8364627324983016,1.403551907786924,2.807103815573848,2,0.042403781445389394
0.01,0.03,0.01,0.3,0.3,2.3805003183254825,1.4945462280694477,2.9890924561388954,2,0.04845945610191585
0.01,0.1,0.01,0.01,0.01,13.04000879322718,1.3420156681853723,2.6840313363707446,2,0.010667280416407382
0.01,0.1,0.01,0.01,0.03,12.515335940724237,1.4078401186275986,2.8156802372551972,2,0.010854980617692717
0.01,0.1,0.01,0.01,0.1,11.783732466780684,1.3036412853677986,2.607282570735597,2,0.011236987284360317
0.01,0.1,0.01,0.01,0.3,9.64642205236035,1.3350295537002137,2.6700591074004274,2,0.011847000074661773
0.01,0.1,0.01,0.03,0.01,12.987906991594468,1.4047961557728388,2.8095923115456776,2,0.010891690988019787
0.01,0.1,0.01,0.03,0.03,12.15003068617671,1.3172742182161852,2.6345484364323704,2,0.01070177942216119
0.01,0.1,0.01,0.03,0.1,11.896271767693788,1.4238893670220802,2.8477787340441605,2,0.011070286805303836
0.01,0.1,0.01,0.03,0.3,9.574317390691657,1.377991702067936,2.755983404135872,2,0.012701885494497966
0.01,0.1,0.01,0.1,0.01,12.910558401846796,1.296166708914673,2.592333417829346,2,0.011004284942177395
0.01,0.1,0.01,0.1,0.03,12.547926726051731,1.3386873011976395,2.677374602395279,2,0.011140181578593616
0.01,0.1,0.01,0.1,0.1,11.8332132335934,1.2636343552020648,2.5272687104041296,2,0.010869166864795277
